id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
4761,1075,Mastercard,Credit,5089768442116305,07/2023,686,YES,2,$11200,09/2010,2010,No
5286,1075,Mastercard,Debit,5767339719294372,12/2021,669,NO,2,$26753,10/2014,2014,No
744,1711,Visa,Debit,4595831603224644,05/2023,689,NO,2,$17480,01/2020,2020,No
5559,1116,Mastercard,Debit,5341049613275152,09/2021,396,YES,2,$26546,11/2009,2009,No
4905,1116,Mastercard,Debit,5668831527649353,01/2021,356,YES,1,$23253,09/2017,2017,No
79,1116,Visa,Credit,4400056931148232,02/2021,497,YES,1,$16100,01/2005,2014,No
301,1116,Visa,Credit,4808554251869440,02/2021,921,YES,2,$8700,01/2012,2012,No
3115,1116,Mastercard,Debit,5224739362243611,01/2019,922,YES,1,$29333,05/2012,2012,No
3880,1752,Mastercard,Debit,5294178176133532,07/2024,265,YES,2,$9496,07/2009,2012,No
1766,192,Visa,Debit,4857799018106614,07/2021,930,YES,1,$25499,02/2020,2020,No
1767,192,Visa,Debit,4324062360619923,02/2020,358,YES,1,$18641,02/2020,2020,No
745,640,Visa,Debit,4852639114720724,05/2023,995,YES,1,$26019,01/2020,2020,No
1459,1679,Mastercard,Debit,5656383455895230,01/2021,547,YES,1,$25845,02/2020,2020,No
138,1094,Visa,Debit,4556928160477229,06/2023,64,YES,2,$2365,01/2007,2009,No
3755,1094,Mastercard,Debit,5515782790823587,06/2023,419,YES,2,$18684,07/2006,2017,No
1768,1094,Visa,Credit,4508388296516458,02/2021,364,NO,2,$7400,02/2020,2020,No
5924,1590,Mastercard,Debit,5548265564669334,12/2024,145,YES,2,$4147,12/2008,2016,No
6074,1660,Visa,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,$76,12/2012,2012,No
5923,1660,Discover,Credit,6726060094896113,01/2009,105,NO,1,$4700,12/2008,2014,No
4223,1660,Visa,Credit,4157109762296149,06/2021,433,YES,2,$5800,08/2007,2011,No
4455,1660,Mastercard,Debit,5231462717450524,03/2024,754,YES,2,$12082,08/2016,2016,No
3234,1660,Mastercard,Credit,5074836567307562,03/2023,741,NO,2,$6000,06/2002,2010,No
1005,1660,Visa,Debit,4986369179342271,11/2009,367,YES,1,$620,02/2002,2014,No
151,1747,Mastercard,Debit,5892013969159900,08/2022,879,YES,1,$14499,01/2008,2008,No
4198,1747,Mastercard,Debit,5179157151686144,07/2023,457,YES,2,$12332,08/2007,2009,No
4403,1747,Mastercard,Debit,5569640141329524,09/2024,904,YES,1,$18424,08/2013,2013,No
4120,1747,Visa,Credit,4708914311449293,07/2023,149,NO,1,$15400,08/2003,2008,No
4224,1747,Visa,Debit,4795724941278913,02/2022,136,YES,2,$14548,08/2007,2013,No
4895,1747,Mastercard,Credit,5300159511214994,12/2016,740,YES,2,$10100,09/2016,2016,No
1028,153,Discover,Credit,6580244636542196,04/2011,416,YES,1,$11200,02/2004,2008,No
5956,153,Mastercard,Debit,5032457975030967,10/2024,240,YES,2,$20291,12/2009,2011,No
107,153,Visa,Debit,4382324870900908,08/2018,852,YES,1,$32092,01/2006,2010,No
440,153,Mastercard,Debit,5456808094753905,02/2020,217,YES,1,$20463,01/2020,2020,No
746,429,Visa,Debit,4465362453388909,08/2022,738,YES,1,$15802,01/2020,2020,No
1769,429,Visa,Debit,4668447208616693,02/2020,314,NO,2,$4612,02/2020,2020,No
421,429,Discover,Credit,6377595394803324,07/2020,675,YES,2,$19900,01/2020,2020,No
974,511,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,$73,02/2000,2012,No
4707,511,Mastercard,Debit,5377858405611171,01/2024,24,YES,1,$11858,09/2009,2010,No
7,511,Mastercard,Debit,5585238056278288,03/2005,749,YES,1,$9664,01/1998,2011,No
2212,511,Mastercard,Debit,5355281784290567,06/2020,810,YES,1,$8367,03/2009,2009,No
1038,511,Visa,Credit,4150093118072730,06/2022,135,YES,2,$6100,02/2004,2009,No
1460,309,Mastercard,Debit,5979295728871785,02/2020,630,YES,3,$9944,02/2020,2020,No
747,309,Visa,Credit,4473643731469839,01/2020,771,YES,1,$7900,01/2020,2020,No
1770,309,Visa,Credit,4800116569994473,12/2020,201,YES,1,$5600,02/2020,2020,No
748,777,Visa,Debit,4832328468851061,08/2023,580,YES,1,$68400,01/2020,2020,No
441,777,Mastercard,Debit,5278075482033392,04/2023,437,YES,2,$77237,01/2020,2020,No
3679,1946,Visa,Debit,4869845530765333,08/2024,701,YES,2,$4488,07/2002,2015,No
5701,1946,Visa,Credit,4231526239204033,02/2020,499,YES,2,$12500,11/2014,2014,No
4510,1674,Mastercard,Debit,5813611925507601,12/2020,734,YES,2,$23432,09/2001,2008,No
2873,1674,Amex,Credit,366520954874839,05/2022,447,YES,2,$8800,05/2005,2011,No
1461,482,Mastercard,Credit,5392697458480962,02/2020,886,YES,2,$12100,02/2020,2020,No
